Box Length,Coefficient 0,Coefficient 1,Coefficient 2,Coefficient 3,Coefficient 4,Energy 0,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Energy 6,Energy 7,Energy 8,Energy 9
0.33134162853,0.21510418644662765,0.11919246819688105,0.10019493197556907,0.03422355532749057,0.0069391629884367,16.482427815,50.113841458,105.88417582,183.93359679,284.27162251,406.89709704,551.80624637,718.99396552,908.45413764,1120.1797367
0.24017561285,-0.057901899379465355,0.08295382323618763,-0.010398833851581142,-0.00622961677207174,0.0011973398976796855,27.427667807,91.070012361,197.16284342,345.69356005,536.65397116,770.03618838,1045.8311991,1364.0285491,1724.6162513,2127.5807542
0.30375163851,0.7477314202309748,0.13801383034234946,-0.0006383513759865016,-0.008901351199621403,-1.462278706209898e-05,13.247203632,53.056679268,119.39239612,212.25652995,331.64655886,477.55828544,649.98634021,848.92430101,1074.3647287,1326.2991803
0.20824700219,-0.12675738759872052,0.08102057074205546,0.006751795286140543,0.001937001613670801,-0.00023136275096215426,25.408366984,110.11262648,251.24413544,448.81656895,702.82445795,1013.2587252,1380.107878,1803.3582196,2282.9939062,2818.9969651
0.12652367415,-0.023412446385938757,-0.01727024131450997,-0.0016049384890691484,-0.00010830725896904164,1.3357691036157239e-05,79.709413402,309.09114916,691.40702794,1226.632196,1914.7452597,2755.7200851,3749.5250205,4896.1227485,6195.4702459,7647.5187717
0.37791808864,0.8271569216500672,-0.4404705743435732,-0.03733062668539049,0.05804329993986019,0.004157632386942318,9.930865159,35.661847216,78.50587056,138.4935877,215.61939452,309.8794054,421.26972739,549.78603023,695.42342034,858.17639673
0.394480018,0.5515058454077209,-0.2421503586445744,0.12661864779045037,-0.07275439116868798,0.02813472419838651,15.390793134,39.186145111,78.538202828,133.60370967,204.39328458,290.90665477,393.14127797,511.09358822,644.7592829,794.13341041
0.25062384178,-0.17454463407172321,0.14805994607166248,-0.03482229686364135,-0.003054802878259242,-0.0012013898866011633,14.565576343,72.945193467,170.36594137,306.76700345,482.13577759,696.4638148,949.74243195,1241.96186,1573.1110106,1943.1773964
0.31878163589,0.11024274429853083,0.2625115123057279,-0.019386614433743593,-0.010493049813620009,0.005763260451089515,17.509480762,53.621829908,113.84211851,198.15314799,306.54921367,439.02561971,595.57718199,776.19793935,980.88107503,1209.6188902
0.016612314918,0.0001027833569789076,3.39548875497861e-05,-5.245873804064652e-08,-5.779166131848449e-09,-3.108622842318169e-11,4434.1493608,17740.868334,39918.178845,70965.249161,110880.91493,159663.6792,217311.71247,283822.8528,359194.60582,443424.14489
0.2071616938,-0.2545483803817536,0.0796276091954165,0.003352835352890863,0.0008494834555823683,-0.0006344897640890029,20.505292126,106.08510081,248.6969011,448.34410915,705.0200757,1018.7153644,1389.4182733,1817.1149255,2301.7892933,2843.4232061
0.32467541029,0.8612426078273779,0.060077088044299745,0.05483278143072873,0.024860719842703244,-0.002514066129160068,9.5191981333,44.466459008,102.54237883,183.82758998,288.32732423,416.03953774,566.96005803,741.08347724,938.40338408,1158.9124405
0.41268779179,0.07308248081861173,-0.5144086972032186,0.1137526317835378,-0.010979010629914295,-0.03467523042196368,0.2547505985,21.921703293,57.877363329,108.19225455,172.87393746,251.92226173,345.33502727,453.1090461,575.24042575,711.72466417
0.24763248746,0.3150741181358153,-0.13227881948294337,-0.015158617403951245,0.008231636452222102,0.0015027862590934575,26.437009157,86.298590539,186.09644273,325.81591309,505.4485385,724.98670081,984.42185306,1283.7441322,1622.9422483,2002.0034463
0.33775442793,-0.18524122917580313,-0.1788035389516171,0.1208684418929697,-0.033485111720548646,-0.014802153477505475,0.87035818863,33.257145389,86.933633921,162.04865467,258.61325858,376.62676109,516.08567009,676.98512953,859.31927938,1063.0813718
0.16974356362,0.06049664561780979,-0.011960171680974394,0.007167331103726597,-0.0009532176997866951,0.00010419427076475624,46.871767862,174.36318102,386.78387596,684.15433359,1066.4666734,1533.7073493,2085.8591075,2722.9013525,3444.8102467,4251.5587447
0.24541927352,0.41444920411126085,-0.03419213773719861,-0.019645599077924673,0.005512569967354092,0.0013480822371230354,26.446353611,87.374324464,188.97918216,331.22976182,514.1167827,737.63238066,1001.7678243,1306.5130609,1651.8565914,2037.7854272
0.032435044435,-0.009200150481552836,0.00010843497111881888,1.0912164962465225e-05,-1.861305972670373e-07,-3.221737493693734e-09,1160.788224,4651.40764,10468.958858,18613.224808,29083.900194,41880.592368,57002.821432,74450.020263,94221.534546,116316.62279
0.34433522904,0.5580233710734344,0.017901769431185776,0.02205370692036548,-0.01882848318520091,0.016547172768420132,20.271237347,51.286332025,102.91226313,175.17811509,268.08463008,381.62915325,515.80770728,670.61537673,846.04641138,1042.0942613
0.16250453332,0.21314958481967067,0.03609054417820711,-0.0016552725202788256,-0.001108959367207209,-0.0001018642888914469,40.812016722,179.86529124,411.62333099,736.07428682,1153.2052116,1663.0002483,2265.440202,2960.5024471,3748.1609011,4628.3860164
0.46925571294,-0.3526570602531345,0.7362967039295537,-0.43522593795088677,0.02299398592983044,0.013153023833031302,6.5210962461,22.893623057,50.631061324,89.520131049,139.53484717,200.66682314,272.91144358,356.26500551,450.72390105,556.28433132
0.1767788268,-0.20633979613704853,0.05488430554495351,-0.009536709968079845,-0.0003171225929764934,-0.0002698859080353982,30.286567353,147.74839939,343.58273468,617.74990385,970.23551362,1401.025322,1910.1028213,2497.4487728,3163.0410787,3906.8547405
